"","検索文字 URL： チェック","変なホテル東京羽田 サイト名","test 検索年月： 評価","2026年 投稿日","04月 コメント(全体)","範囲： コメント(良い点)","!A1:K コメント(改善点)","コメント（翻訳:全体)","コメント（翻訳:良い)","コメント（翻訳:改善点)","投稿者","","","","","関数用 2026年 2026年 ","03月 04月 ","","!A2:K300 ","","","",""
"","FALSE","楽天トラベル","5","2026-04-23","恐竜ロボットがお出迎えしてくれるユニークなホテルで、到着時から楽しい気分になれます。客室は使いやすく快適で、滞在中もストレスなく過ごせました。特にLGスタイラーは、スーツのしわをきれいに伸ばしてくれるため大変重宝しました。  朝食は、複数のおかずに加えて3種類のカレーが用意されており、ナンも楽しめるなど非常に満足度の高い内容です。どれも美味しく、朝からしっかりと食事を楽しむことができました。数年前には月に一度のペースで利用しており、今回久しぶりの宿泊となりましたが、以前と変わらず良い印象を持ちました。  周辺にはスーパーや飲食店が多く、夕食にも困りません。ホテルから歩いてすぐのところにある「キッチンさん太」と「呑み処菊屋」がお勧めです。  また、空港への送迎バスの運転手の方の対応が丁寧で、最後まで気持ちよく利用できました。空港へのアクセスが良い点も魅力で、人気のため予約が取りづらい点もありますが、それも納得できる満足度の高いホテルです。","","","恐竜ロボットがお出迎えしてくれるユニークなホテルで、到着時から楽しい気分になれます。客室は使いやすく快適で、滞在中もストレスなく過ごせました。特にLGスタイラーは、スーツのしわをきれいに伸ばしてくれるため大変重宝しました。  朝食は、複数のおかずに加えて3種類のカレーが用意されており、ナンも楽しめるなど非常に満足度の高い内容です。どれも美味しく、朝からしっかりと食事を楽しむことができました。数年前には月に一度のペースで利用しており、今回久しぶりの宿泊となりましたが、以前と変わらず良い印象を持ちました。  周辺にはスーパーや飲食店が多く、夕食にも困りません。ホテルから歩いてすぐのところにある「キッチンさん太」と「呑み処菊屋」がお勧めです。  また、空港への送迎バスの運転手の方の対応が丁寧で、最後まで気持ちよく利用できました。空港へのアクセスが良い点も魅力で、人気のため予約が取りづらい点もありますが、それも納得できる満足度の高いホテルです。","","","旅が大好き！！","","FALSE","楽天トラベル","5","2026-04-23","恐竜ロボットがお出迎えしてくれるユニークなホテルで、到着時から楽しい気分になれます。客室は使いやすく快適で、滞在中もストレスなく過ごせました。特にLGスタイラーは、スーツのしわをきれいに伸ばしてくれるため大変重宝しました。  朝食は、複数のおかずに加えて3種類のカレーが用意されており、ナンも楽しめるなど非常に満足度の高い内容です。どれも美味しく、朝からしっかりと食事を楽しむことができました。数年前には月に一度のペースで利用しており、今回久しぶりの宿泊となりましたが、以前と変わらず良い印象を持ちました。  周辺にはスーパーや飲食店が多く、夕食にも困りません。ホテルから歩いてすぐのところにある「キッチンさん太」と「呑み処菊屋」がお勧めです。  また、空港への送迎バスの運転手の方の対応が丁寧で、最後まで気持ちよく利用できました。空港へのアクセスが良い点も魅力で、人気のため予約が取りづらい点もありますが、それも納得できる満足度の高いホテルです。","","","恐竜ロボットがお出迎えしてくれるユニークなホテルで、到着時から楽しい気分になれます。客室は使いやすく快適で、滞在中もストレスなく過ごせました。特にLGスタイラーは、スーツのしわをきれいに伸ばしてくれるため大変重宝しました。  朝食は、複数のおかずに加えて3種類のカレーが用意されており、ナンも楽しめるなど非常に満足度の高い内容です。どれも美味しく、朝からしっかりと食事を楽しむことができました。数年前には月に一度のペースで利用しており、今回久しぶりの宿泊となりましたが、以前と変わらず良い印象を持ちました。  周辺にはスーパーや飲食店が多く、夕食にも困りません。ホテルから歩いてすぐのところにある「キッチンさん太」と「呑み処菊屋」がお勧めです。  また、空港への送迎バスの運転手の方の対応が丁寧で、最後まで気持ちよく利用できました。空港へのアクセスが良い点も魅力で、人気のため予約が取りづらい点もありますが、それも納得できる満足度の高いホテルです。","","","旅が大好き！！"
"","FALSE","Booking.com","9","2026-04-22","","Quality of amenties and the free shuttle bus to airport.","The check in is impersonal but nevertheless innovative.","","設備の質の高さと、空港への無料シャトルバス。","チェックインは非対面式だが、それでも革新的だ。","Li","","FALSE","Booking.com","9","2026-04-22","","Quality of amenties and the free shuttle bus to airport.","The check in is impersonal but nevertheless innovative.","","設備の質の高さと、空港への無料シャトルバス。","チェックインは非対面式だが、それでも革新的だ。","Li"
"","FALSE","Booking.com","7","2026-04-22","","","","","","","Begert","","FALSE","Booking.com","7","2026-04-22","","","","","","","Begert"
"","FALSE","Booking.com","10","2026-04-22","","The check in experience was really cool, and I liked the simplicity of everything. The room was clean, tidy and the facilities were really good. The staff member who helped us weigh our suitcases was really kind and it was the perfect last stop before our early flight home.","","","チェックインの手続きはとてもスムーズで、すべてがシンプルで気に入りました。部屋は清潔で整頓されていて、設備も素晴らしかったです。スーツケースの重さを量ってくれたスタッフの方もとても親切で、早朝の帰国便に乗る前の最後の立ち寄り場所として最適でした。","","David","","FALSE","Booking.com","10","2026-04-22","","The check in experience was really cool, and I liked the simplicity of everything. The room was clean, tidy and the facilities were really good. The staff member who helped us weigh our suitcases was really kind and it was the perfect last stop before our early flight home.","","","チェックインの手続きはとてもスムーズで、すべてがシンプルで気に入りました。部屋は清潔で整頓されていて、設備も素晴らしかったです。スーツケースの重さを量ってくれたスタッフの方もとても親切で、早朝の帰国便に乗る前の最後の立ち寄り場所として最適でした。","","David"
"","FALSE","Booking.com","8","2026-04-22","","The unique nature of having robots at the front desk was almost like going to Disneyland! The breakfast buffet was fabulous.","","","フロントにロボットがいるというユニークな体験は、まるでディズニーランドに来たような気分でした！朝食ビュッフェも素晴らしかったです。","","Kim","","FALSE","Booking.com","8","2026-04-22","","The unique nature of having robots at the front desk was almost like going to Disneyland! The breakfast buffet was fabulous.","","","フロントにロボットがいるというユニークな体験は、まるでディズニーランドに来たような気分でした！朝食ビュッフェも素晴らしかったです。","","Kim"
"","FALSE","Booking.com","7","2026-04-22","","Nice amenities in front","No early check in here, they charge me extra $62 for three hours, no happy about","","目の前に素敵なアメニティが揃っています","ここではアーリーチェックインはできません。3時間で62ドル余分に請求されました。","Akbar","","FALSE","Booking.com","7","2026-04-22","","Nice amenities in front","No early check in here, they charge me extra $62 for three hours, no happy about","","目の前に素敵なアメニティが揃っています","ここではアーリーチェックインはできません。3時間で62ドル余分に請求されました。","Akbar"
"","FALSE","じゃらん","4","2026-04-22","羽田の早朝便のために宿泊 駅から少し歩くものの場所はわかりやすい 朝の空港送迎があるのでとても助かった バスは満員になったので少し早めに並んでおくのがよいかもしれない 確か部屋には時計がなかったような（不確かだったら失礼）。一晩過ごすには十分快適だった。","","","羽田の早朝便のために宿泊 駅から少し歩くものの場所はわかりやすい 朝の空港送迎があるのでとても助かった バスは満員になったので少し早めに並んでおくのがよいかもしれない 確か部屋には時計がなかったような（不確かだったら失礼）。一晩過ごすには十分快適だった。","","","くさまくらさん","","FALSE","じゃらん","4","2026-04-22","羽田の早朝便のために宿泊 駅から少し歩くものの場所はわかりやすい 朝の空港送迎があるのでとても助かった バスは満員になったので少し早めに並んでおくのがよいかもしれない 確か部屋には時計がなかったような（不確かだったら失礼）。一晩過ごすには十分快適だった。","","","羽田の早朝便のために宿泊 駅から少し歩くものの場所はわかりやすい 朝の空港送迎があるのでとても助かった バスは満員になったので少し早めに並んでおくのがよいかもしれない 確か部屋には時計がなかったような（不確かだったら失礼）。一晩過ごすには十分快適だった。","","","くさまくらさん"
"","FALSE","じゃらん","4","2026-04-22","羽田の早朝便のために宿泊 駅から少し歩くものの場所はわかりやすい 朝の空港送迎があるのでとても助かった バスは満員になったので少し早めに並んでおくのがよいかもしれない 確か部屋には時計がなかったような（不確かだったら失礼）。一晩過ごすには十分快適だった。","","","羽田の早朝便のために宿泊 駅から少し歩くものの場所はわかりやすい 朝の空港送迎があるのでとても助かった バスは満員になったので少し早めに並んでおくのがよいかもしれない 確か部屋には時計がなかったような（不確かだったら失礼）。一晩過ごすには十分快適だった。","","","不明","","FALSE","じゃらん","4","2026-04-22","羽田の早朝便のために宿泊 駅から少し歩くものの場所はわかりやすい 朝の空港送迎があるのでとても助かった バスは満員になったので少し早めに並んでおくのがよいかもしれない 確か部屋には時計がなかったような（不確かだったら失礼）。一晩過ごすには十分快適だった。","","","羽田の早朝便のために宿泊 駅から少し歩くものの場所はわかりやすい 朝の空港送迎があるのでとても助かった バスは満員になったので少し早めに並んでおくのがよいかもしれない 確か部屋には時計がなかったような（不確かだったら失礼）。一晩過ごすには十分快適だった。","","","不明"
"","FALSE","Booking.com","6","2026-04-21","","スタッフの対応が良かった。","シャトルバスに乗るための待つ場所がもっとわかりやすければよかった。","","スタッフの対応が良かった。","シャトルバスに乗るための待つ場所がもっとわかりやすければよかった。","Kiyoshi","","FALSE","Booking.com","6","2026-04-21","","スタッフの対応が良かった。","シャトルバスに乗るための待つ場所がもっとわかりやすければよかった。","","スタッフの対応が良かった。","シャトルバスに乗るための待つ場所がもっとわかりやすければよかった。","Kiyoshi"
"","FALSE","Booking.com","8","2026-04-21","","The room was clean and comfortable.","There were few staff around. Reception was run by two animatronic dinosaurs and a doll, which was fun and quirky but didn't really help when I had trouble checking in. Luckily a member of staff turned up in the end and was very helpful. There was a shuttle bus to the airport but space was limited so you need to queue early to ensure your place.","","部屋は清潔で快適だった。","スタッフの姿はほとんど見かけませんでした。受付は2体の動く恐竜と人形が担当していて、面白くて風変わりでしたが、チェックインで困った時にはあまり役に立ちませんでした。幸いにも最後にスタッフが現れて、とても親切に対応してくれました。空港行きのシャトルバスはありましたが、座席数が限られていたので、席を確保するには早めに並ぶ必要がありました。","Alison","","FALSE","Booking.com","8","2026-04-21","","The room was clean and comfortable.","There were few staff around. Reception was run by two animatronic dinosaurs and a doll, which was fun and quirky but didn't really help when I had trouble checking in. Luckily a member of staff turned up in the end and was very helpful. There was a shuttle bus to the airport but space was limited so you need to queue early to ensure your place.","","部屋は清潔で快適だった。","スタッフの姿はほとんど見かけませんでした。受付は2体の動く恐竜と人形が担当していて、面白くて風変わりでしたが、チェックインで困った時にはあまり役に立ちませんでした。幸いにも最後にスタッフが現れて、とても親切に対応してくれました。空港行きのシャトルバスはありましたが、座席数が限られていたので、席を確保するには早めに並ぶ必要がありました。","Alison"
"","FALSE","Google","5","2026-04-21","普段は少し高めですが、今回はかなりリーズナブルな日程を選びました。ロボットによるチェックインはとても面白かったです。ただ、チェックイン画面でフルネームを入力する必要があることを知らなかったため、すぐにスタッフを呼び出してしまったのが少し残念でした。画面にその旨が表示され、必要に応じてスタッフを呼べるようにすれば良かったと思います。朝食はとても美味しかったです。部屋も十分な広さでした。荷物預かり所もとても便利でした。フロントにある真空パック機も気に入りました。  唯一の難点は、一晩中奇妙な無線周波数の音が聞こえていたことです。耳栓をして遮断する必要がありました。","","","普段は少し高めですが、今回はかなりリーズナブルな日程を選びました。ロボットによるチェックインはとても面白かったです。ただ、チェックイン画面でフルネームを入力する必要があることを知らなかったため、すぐにスタッフを呼び出してしまったのが少し残念でした。画面にその旨が表示され、必要に応じてスタッフを呼べるようにすれば良かったと思います。朝食はとても美味しかったです。部屋も十分な広さでした。荷物預かり所もとても便利でした。フロントにある真空パック機も気に入りました。  唯一の難点は、一晩中奇妙な無線周波数の音が聞こえていたことです。耳栓をして遮断する必要がありました。","","","Arlton Gilbert","","FALSE","Google","5","2026-04-21","普段は少し高めですが、今回はかなりリーズナブルな日程を選びました。ロボットによるチェックインはとても面白かったです。ただ、チェックイン画面でフルネームを入力する必要があることを知らなかったため、すぐにスタッフを呼び出してしまったのが少し残念でした。画面にその旨が表示され、必要に応じてスタッフを呼べるようにすれば良かったと思います。朝食はとても美味しかったです。部屋も十分な広さでした。荷物預かり所もとても便利でした。フロントにある真空パック機も気に入りました。  唯一の難点は、一晩中奇妙な無線周波数の音が聞こえていたことです。耳栓をして遮断する必要がありました。","","","普段は少し高めですが、今回はかなりリーズナブルな日程を選びました。ロボットによるチェックインはとても面白かったです。ただ、チェックイン画面でフルネームを入力する必要があることを知らなかったため、すぐにスタッフを呼び出してしまったのが少し残念でした。画面にその旨が表示され、必要に応じてスタッフを呼べるようにすれば良かったと思います。朝食はとても美味しかったです。部屋も十分な広さでした。荷物預かり所もとても便利でした。フロントにある真空パック機も気に入りました。  唯一の難点は、一晩中奇妙な無線周波数の音が聞こえていたことです。耳栓をして遮断する必要がありました。","","","Arlton Gilbert"
