チェック,サイト名,評価,投稿日,コメント(全体),コメント(良い点),コメント(改善点),コメント（翻訳:全体),コメント（翻訳:良い),コメント（翻訳:改善点),投稿者,レビューID
false,Trip.com,6,2026-01-28,正常的水準,,,正常レベル,,,_‍C‍F‍T‍0‍1‍0‍0‍0‍0‍0‍0‍0‍2‍2‍4‍*‍*‍*‍*,trip_1828390619
false,Booking.com,9,2026-01-28,,,,,,,匿名,bookingcom_7530135_3a9def4c7fbb7ddc4e96d21f50610633
false,Google,5,2026-01-28,,,,,,,黃昭儒,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_a4ba3d3e5657ff9b91a619291498d5a9
false,Booking.com,10,2026-01-27,,都很好,沒有,,どちらもとても良い,いいえ,Yi,bookingcom_7530135_1438b9729eb652c3783213b7a5a79bfa
false,Booking.com,6,2026-01-26,,,,,,,Yamaguchi,bookingcom_7530135_53ca0c43b1da38ae780b47e62455e6e5
false,Trip.com,8,2026-01-25,離JR車站近,,,JR駅に近い,,,s‍a‍n‍j‍i‍a‍n‍k‍e‍j‍j‍j,trip_1825215373
false,Trip.com,10,2026-01-25,交通方便 離錦系町車站步行約6分鐘，附近有百貨公司與超商，機能很好，但住宿5晚中有幾晚都會聽警車的聲音，夜間巷道感覺有****的情行。但整體而言我挺滿意的。,,,錦糸町駅から徒歩約6分と便利な立地です。近くにはデパートやコンビニもあり、とても便利です。ただ、5泊の滞在中に何度かパトカーのサイレンが聞こえ、夜は路地裏が少し不気味に感じました。とはいえ、全体的にはかなり満足しています。,,,ゲ‍ス‍ト,trip_1825651546
false,Google,5,2026-01-25,以前都内に出張した際に利用しました。今回が二度目です。館内や部屋がとても綺麗。清掃が行き届いている感じがします☺部屋風呂のバスタブも大きくて足を伸ばせる。無料のアメニティに入浴剤が複数あるのも嬉しいです。朝食バイキングの品数はそこまで多くは無いものの、味噌ちゃんこ鍋が野菜たっぷり摂れる上、味も良かったです☺ 立地面では駅から比較的近いのも有難い限り。また利用させていただきます✋,,,以前都内に出張した際に利用しました。今回が二度目です。館内や部屋がとても綺麗。清掃が行き届いている感じがします☺部屋風呂のバスタブも大きくて足を伸ばせる。無料のアメニティに入浴剤が複数あるのも嬉しいです。朝食バイキングの品数はそこまで多くは無いものの、味噌ちゃんこ鍋が野菜たっぷり摂れる上、味も良かったです☺ 立地面では駅から比較的近いのも有難い限り。また利用させていただきます✋,,,ともぞう,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_5bd6bf28cbe7ac5d4724017ca08b3dbb
false,Google,5,2026-01-25,駅、コンビニ、レストラン、ショッピングモールへのアクセスも良好です。部屋は清潔で、設備も充実しています。,,,駅、コンビニ、レストラン、ショッピングモールへのアクセスも良好です。部屋は清潔で、設備も充実しています。,,,Febriani Fatma,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_e7f7187dcac6ec28e236d863ce1053df
false,Google,5,2026-01-25,"Stations, konbini, restos and mall are easy to find. Neat and clean room. Good facilites.",,,駅、コンビニ、レストラン、ショッピングモールはすぐ近くにあります。部屋は清潔で整頓されています。設備も充実しています。,,,Febriani Fatma,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_940e58cc1196c66450f0e0db22c43813
false,Trip.com,10,2026-01-24,언제나 안정적이고 주변 식당및 역 과 가까워서 편리합니다. 호텔 룸 사이즈도 적당하며 깨끗합니다.  체크인과 체크아웃 절차또한 간소화 되어 편리.,,,いつも安心して周辺のレストランや駅に近いので便利です。ホテルの部屋のサイズも適していてきれいです。  チェックインとチェックアウト手順も簡素化されて便利。,,,ゲ‍ス‍ト,trip_1824420048
false,Trip.com,10,2026-01-24,交通地點便利，去成田機場有總武快線可搭。服務人員很有善，退房方便，把鑰匙投到盒子中就可以退房，下次到東京也會考慮住宿地點。,,,成田空港へは総武エクスプレスで行けるので、立地は便利です。スタッフはとても親切で、チェックアウトも簡単でした。鍵をロッカーに入れるだけです。次回東京に来る際は、ぜひまたここに泊まりたいと思います。,,,ゲ‍ス‍ト,trip_1824427002
false,Booking.com,8,2026-01-23,,京成は千葉県の印象が強いので貝とかシジミの味噌汁などあれば良かった 朝食はまあまあでしたが,他になし,,京成は千葉県の印象が強いので貝とかシジミの味噌汁などあれば良かった 朝食はまあまあでしたが,他になし,Eiko,bookingcom_7530135_c93cc845d9dbe7c694d577f488b83254
false,Trip.com,10,2026-01-22,Check in人很熱心在入房後可以拿取飯店準備的備品很棒的是有面膜可以使用他的保養品也很不錯床很好睡舒,,,チェックインのスタッフはとても親切でした。チェックイン後、ホテルのアメニティを受け取ることができ、とても助かりました。フェイスマスクも用意されていて、スキンケア製品もとても良かったです。ベッドは快適で、ぐっすり眠ることができました。,,,ゲ‍ス‍ト,trip_1822365900
false,Booking.com,9,2026-01-21,,"Near station and convenience store, easily accessible, room clean and big, great staffs, nice food.",,,駅とコンビニエンスストアが近く、アクセスが便利。部屋は清潔で広く、スタッフも親切で、食事も美味しい。,,Riana,bookingcom_7530135_9b7f03ef81477f1c90ab570796ca43b4
false,Booking.com,7,2026-01-20,,,員工英文溝通能力。晚上約11時發現沒有body wash，致電房務要求補給，員工只能用日語溝通，最後沒有送來所需body Wash,,,スタッフの英語でのコミュニケーション能力について。午後11時頃、ボディソープがないことが判明しました。ハウスキーピングに電話して補充を依頼しましたが、スタッフは日本語しか話せず、結局、依頼したボディソープは届きませんでした。,Choi,bookingcom_7530135_b00cc4f9b578dc6458e1f1821af0f7ab
false,Booking.com,10,2026-01-20,,,,,,,Jin,bookingcom_7530135_59b8c91f4d98014729236ba7af5f0200
false,Google,4,2026-01-20,,,,,,,Dani Johnson,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_0c6993e53707e71a9d8a093d5e918c71
false,Google,4,2026-01-19,何時も利用してます,,,何時も利用してます,,,しば犬,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_69cdaf8a6bbaeefa4cc386f98a513d80
false,Trip.com,10,2026-01-19,部屋の広さ、清潔さ、館内もうるさくなく，落ち着いて宿泊できました。また利用したいとおまいます,,,部屋の広さ、清潔さ、館内もうるさくなく，落ち着いて宿泊できました。また利用したいとおまいます,,,ゲ‍ス‍ト,trip_1819867750
false,Booking.com,10,2026-01-19,,,,,,,Prima,bookingcom_7530135_ae383c0e7331d80844a1dac78dd13ab4
false,Google,4,2026-01-19,,,,,,,森本敦史,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_26c6087e9171e19180823cf5fa0f0731
false,Booking.com,9,2026-01-18,,,,,,,Chih-wei,bookingcom_7530135_67dca476fa819d6d7221de407d30878d
false,Trip.com,10,2026-01-17,雙床房空間在東京是難得一見的寬敞， 我們二大二小居住非常自在與舒適， 三個行李箱攤平都還有很寬裕的空間走路， 路上一個行李箱的輪子壞掉離家出走， 只需要¥1000即可把惱人的壞箱子交給櫃檯處理。 非常滿意的一次住宿… 已經訂了三月還要再來❤️❤️❤️,,,東京にしては珍しくツインルームが広く、大人2人と子供2人でとても快適でした。スーツケース3つを平らに置いても、まだ十分なスペースがありました。スーツケースの1つは車輪が壊れて転がってしまいましたが、フロントで1000円で修理してもらえました。とても満足のいく滞在でした…すでに3月の予約も済ませており、必ずまた来ます！❤️❤️❤️,,,C‍l‍a‍i‍r‍e‍0‍6‍2‍9,trip_1817585828
false,Trip.com,10,2026-01-17,去迪士尼和機場都很方便喔,,,ディズニーランドや空港に行くのにとても便利です。,,,ゲ‍ス‍ト,trip_1817786654
false,Google,5,2026-01-17,,,,,,,Fanny Chen,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_acc7dd090e492f25415fb508cf9f6128
false,Trip.com,9,2026-01-15,房間很舒適,,,部屋はとても快適でした。,,,ゲ‍ス‍ト,trip_1815343572
false,Booking.com,10,2026-01-14,,,,,,,Pik,bookingcom_7530135_916b93891d5cde200f16b407c9d91752
false,Booking.com,8,2026-01-14,,,,,,,Serika,bookingcom_7530135_1c9bf297b1d35d8d7cabb484f45f8f31
false,Booking.com,9,2026-01-14,,Location and well maintained hotel.,Nothing:-),,立地が良く、手入れの行き届いたホテルです。,何もない：-）,Rey,bookingcom_7530135_087d8c6ec981e71c21ba0f54b22fa5ce
false,Booking.com,10,2026-01-14,,アメニティが豊富で嬉しかったです。 また、忘れ物をしてしまったのですが、とても丁寧にご対応いただけました。,,,アメニティが豊富で嬉しかったです。 また、忘れ物をしてしまったのですが、とても丁寧にご対応いただけました。,,Kyoko,bookingcom_7530135_09c67f38fb7a9faa67c87a8bce7d6720
false,楽天トラベル,4,2026-01-13,朝食のバイキングは、和洋とも品数が多く、大変美味しく頂く事が出来ました。 部屋のバスルームですが、入口に大きな段差が無くうれしかったです。,,,朝食のバイキングは、和洋とも品数が多く、大変美味しく頂く事が出来ました。 部屋のバスルームですが、入口に大きな段差が無くうれしかったです。,,,わんたん,rakuten_183014_682fa9a927be3ba7b39c4acc8551063e
false,Booking.com,10,2026-01-13,,,,,,,Masahiro,bookingcom_7530135_8591a2be2661a35926c9f16000134ad0
false,Booking.com,8,2026-01-13,,部屋の清潔感、広さ、ベッド、宿泊代　GOOD,室内の湿度がかなり低く、加湿器があれば良かった。  空気清浄機が準備されていたが、「カビ発生を防ぐため、水は入れてません。」となっていた。,,部屋の清潔感、広さ、ベッド、宿泊代　GOOD,室内の湿度がかなり低く、加湿器があれば良かった。  空気清浄機が準備されていたが、「カビ発生を防ぐため、水は入れてません。」となっていた。,Hirokazu,bookingcom_7530135_e63f4e14b5629ec4b5c9aa20788d28ff
false,Google,4,2026-01-13,,,,,,,はる,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_385b49954b18b8d5badf11c44abf630b
false,Booking.com,10,2026-01-12,,,,,,,Pei,bookingcom_7530135_c5790026cc180e6c979808cec05dfa15
false,Trip.com,10,2026-01-12,きれいでした。,,,きれいでした。,,,ゲ‍ス‍ト,trip_1812890708
false,Booking.com,9,2026-01-12,,,,,,,秀娟,bookingcom_7530135_528ab4bfde926dcd2e6b25093180f59a
false,Booking.com,7,2026-01-12,,朝食が美味しい 室内がキレイ 接客が良い,浴場がない  トイレの個数が少ない,,朝食が美味しい 室内がキレイ 接客が良い,浴場がない  トイレの個数が少ない,Masanari,bookingcom_7530135_ca513186d8496dfa598d28b88c6b51d3
false,Google,5,2026-01-12,,,,,,,Percell Pet,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_3130ee8f9293e73150acd84a3f192a17
false,Booking.com,10,2026-01-10,,ホテルまでは車で行ったので近くにコインパーキングがありとても便利だった。丸３日間停めていたけど5400円ほどでそんなに高くなくて良心的でした。  アメニティーもたくさんあり、チェックイン前なのに荷物も預かってもらえフロントの方の対応もとても親切でした。  錦糸町駅から徒歩5分で立地もよく近くに飲食店やパルコがあり、24時間営業のセイユーはたくさん利用しました。  お風呂とトイレがセパレートなので歩き疲れた体に湯船のお湯がとても染みました。アメニティーの入浴剤も嬉しかった〜。  都内でこんなにお安く、お風呂洗い場付きで泊まれるホテルはないと思います。  最高の3日間をありがとございました！,,,ホテルまでは車で行ったので近くにコインパーキングがありとても便利だった。丸３日間停めていたけど5400円ほどでそんなに高くなくて良心的でした。  アメニティーもたくさんあり、チェックイン前なのに荷物も預かってもらえフロントの方の対応もとても親切でした。  錦糸町駅から徒歩5分で立地もよく近くに飲食店やパルコがあり、24時間営業のセイユーはたくさん利用しました。  お風呂とトイレがセパレートなので歩き疲れた体に湯船のお湯がとても染みました。アメニティーの入浴剤も嬉しかった〜。  都内でこんなにお安く、お風呂洗い場付きで泊まれるホテルはないと思います。  最高の3日間をありがとございました！,,Maria,bookingcom_7530135_4192390688b31c73ce21230cb660b74e
false,Trip.com,9,2026-01-10,酒店距離錦系町站約8分鐘路程，酒店附近有食肆及幾間便利店。 酒店設計美觀，床上用品乾淨衛生，員工有禮。酒店除了提供洗面刷牙用品外（自取），還會提供面膜，而那面膜非常好用，超讚👍！唯一不足的，有一天更換的毛巾有污漬。,,,ホテルは錦糸町駅から徒歩約8分で、周辺にはレストランやコンビニエンスストアがいくつかあります。ホテルは美しいデザインで、清潔で衛生的な寝具、丁寧なスタッフが特徴です。アメニティ（セルフサービス）に加え、フェイスマスクも用意されており、これが非常に優れていておすすめです！👍 唯一の難点は、ある日提供されたタオルにシミがあったことです。,,,l‍a‍i‍ ‍h‍o‍i‍n‍i‍n‍g,trip_1810747160
false,Google,5,2026-01-10,快適な滞在でした。食事はオプションで、別途購入できます。,,,快適な滞在でした。食事はオプションで、別途購入できます。,,,鬼牙,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_7bb1d134ff659e4d00ba72e34d2db61a
false,Trip.com,10,2026-01-10,very good!,,,とても良い！,,,ゲ‍ス‍ト,trip_1810880012
false,Google,5,2026-01-10,住過不錯 餐點可選擇要不要加購,,,快適な滞在でした。食事はオプションで、別途購入できます。,,,I人牙哥 YouTube,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_1cc1ebc8ea4e9e0d8c4fdbc01b31c058
false,Google,5,2026-01-10,快適な滞在でした。食事はオプションで、別途購入できます。,,,快適な滞在でした。食事はオプションで、別途購入できます。,,,I人牙哥 YouTube,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_c6c60ac12d3296c208d3e7692dae89df
false,Booking.com,10,2026-01-09,,広く快適。アップグレード頂いた気がします。,特にありません。,,広く快適。アップグレード頂いた気がします。,特にありません。,Motoyama,bookingcom_7530135_ef290f8f2e093fd98ac43ff8eb13a09d
false,Trip.com,10,2026-01-09,性價比不錯的酒店餐廳，還贈送早餐！所處位置周邊購物商務各方面都很方便,,,ホテル内のレストランはコストパフォーマンスが高く、朝食も付いています！周辺エリアでのショッピングやビジネスにも大変便利な立地です。,,,L‍i‍n‍d‍a‍v‍i‍d,trip_1809776468
false,Booking.com,9,2026-01-09,,Close to train station. Loved the free facial products each day!,,,駅に近くて便利でした。毎日無料でもらえるフェイシャルケア用品がとても気に入りました！,,Tara,bookingcom_7530135_9c419094bb26dd54ab9a611e6406fdcc
false,Trip.com,10,2026-01-09,酒店麻雀雖小五臟俱全！衞生間很乾凈！位置不錯，離淺草寺景點可以步行20分鐘到達，值得推薦！,,,ホテルは小さいですが、設備は完璧です！バスルームもとても清潔でした！立地も素晴らしく、浅草寺まで徒歩約20分です。強くお勧めします！,,,L‍i‍n‍d‍a‍v‍i‍d,trip_1809879736
false,Trip.com,10,2026-01-09,在東京市區，房間算大的了，錦系町也很方便，成田機場有直達車可達錦系町，飯店服務人員態度很好,,,東京中心部にあるホテルにしては、部屋はかなり広かった。錦糸町に位置し、成田空港から直通バスが出ているのも便利だった。ホテルのスタッフもとても親切だった。,,,ゲ‍ス‍ト,trip_1809891038
false,Booking.com,10,2026-01-08,,"tamanho do quarto, camas confortáveis, café da manhã, limpeza, tranquilidade, otimo custo-beneficio",---,,部屋の広さ、快適なベッド、朝食、清潔さ、静けさ、そしてコストパフォーマンスの良さ。,---,Alécia,bookingcom_7530135_6caf165d356a6e41350942950c249ccb
false,Booking.com,8,2026-01-07,,,,,,,江建興,bookingcom_7530135_b55f9f26b57e9ff3a4cc5449c7220e73
false,Booking.com,8,2026-01-07,,,,,,,Fuma,bookingcom_7530135_148f39c92bd4b2d054afb638e5006bbf
false,Booking.com,10,2026-01-06,,"The location is very close to airport shuttle stops , station and disney pickup busstop. The hotel had many eateries family mart and 7/11 nearby too. The room was spacious and restroom very clean.",Breakfast could include some more western options too. But otherwise no complaints.,,空港シャトルバス乗り場、駅、ディズニーの送迎バス停に非常に近い便利な立地です。ホテル周辺には飲食店、ファミリーマート、セブンイレブンなどもたくさんありました。部屋は広々としていて、バスルームもとても清潔でした。,朝食にはもう少し洋食の選択肢があっても良いと思います。それ以外は特に不満はありません。,Jayendiran,bookingcom_7530135_b4e29a71951da3741eefe36f7d0c9590
false,Booking.com,8,2026-01-06,,部屋も広く過ごしやすかったです。,浴槽に浸かるとカビが生えているところが見えて気分がよくなかった。,,部屋も広く過ごしやすかったです。,浴槽に浸かるとカビが生えているところが見えて気分がよくなかった。,Kobayashi,bookingcom_7530135_07464f070f2333750821d18d990ae815
false,Booking.com,9,2026-01-06,,,,,,,こし,bookingcom_7530135_f53c112559254fcda8a2674be81c7098
false,Booking.com,10,2026-01-05,,,,,,,Shinichi,bookingcom_7530135_7aa417980b084a7127104bb232ac68f9
false,Booking.com,10,2026-01-05,,,,,,,Yin,bookingcom_7530135_a99cbc2f503610e90f63d341a04c7533
false,Booking.com,8,2026-01-05,,,,,,,Michael,bookingcom_7530135_891c0722cb23a1d9f0faac4099548e90
false,Booking.com,8,2026-01-05,,,,,,,Shan,bookingcom_7530135_2da27abe91ceaeb69097d3612c9e0593
false,Trip.com,9,2026-01-04,地鐵方便，環境乾淨！,,,地下鉄は便利だし、環境も清潔だ！,,,ゲ‍ス‍ト,trip_1803766786
false,Trip.com,10,2026-01-04,位於錦糸町的一家飯店。距離JR站很近，附近有很多商場和24小時的大超市；房間很新，以東京市區來說房間算很大，浴室寬敞片水柱強，服務人員挺好，一切感受很棒，讓人會想再次光顧的一家飯店。,,,このホテルは錦糸町に位置しています。JR駅から非常に近く、周辺には多くのショッピングモールや24時間営業のスーパーマーケットがあります。客室は新しく、都心部としてはかなり広々としています。バスルームも広々としており、水圧も強力です。スタッフの方々もとても親切で、全体的に素晴らしい滞在でした。ぜひまた泊まりたいホテルです。,,,ゲ‍ス‍ト,trip_1803902952
false,Booking.com,8,2026-01-04,,,,,,,Suzuki,bookingcom_7530135_f95000ed87c332fc79c1bfd10dde6758
false,Booking.com,8,2026-01-04,,朝食がおいしかった,,,朝食がおいしかった,,Hajime,bookingcom_7530135_c99c1b5e01a9f2f6a3b69b2d30b05d75
false,Trip.com,10,2026-01-03,地點鄰近車站很方便，附近也有許多美食餐廳，車站附近也有很多百貨可以逛，飯店乾淨整潔，人員服務親切周到，一樓也有齊全的免費備品可以拿，房間在東京算大了，也有自助洗衣機在電視上就能看到使用狀況，不用到現場看是否使用完畢，一樓有換鈔機，美中不足是沒有飲水機，但有投幣機，水是有的但價格😅。,,,駅に近く、周辺にはレストランやデパートがたくさんあるので、立地は便利です。ホテルは清潔で整頓されており、スタッフは親切で気配りが行き届いています。1階には無料のアメニティもたくさんあります。部屋は東京にしてはかなり広く、使用状況がテレビで確認できるセルフサービスの洗濯機があるので、洗濯機まで行って使用状況を確認する必要はありません。1階には両替機もあります。唯一の欠点はウォーターディスペンサーがないことですが、コイン式の機械があります。水はありますが、値段が😅です。,,,W‍e‍n‍W‍i‍n,trip_1801874944
false,Booking.com,10,2026-01-03,,Location was great room size was great employees were amazing kind and helpful,,,立地も良く、部屋の広さも申し分なく、従業員の方々も素晴らしく親切で助かりました。,,Yanelie,bookingcom_7530135_4a3dd686df07fe5a2758734b8e0dc607
false,Google,5,2026-01-03,2025.10.25(土) - 27(月) 2泊お世話になりました。リッチモンドホテルさんは8月の横浜周辺の家族旅行の際に横浜駅前に宿泊させて頂き、たいへん気に入り、今回さいたまスーパーアリーナで開催の「&Team」コンサート2Day'sと都内観光のため家族3人で利用させて頂きました(目的は母と娘のコンサートで、私はその付き添い)。 宿泊は母娘がツイン(バス、トイレが独立)、私ははダブルのシングルユース(こちらはバストイレいっしょのユニットタイプ)いずれも禁煙で朝食付き。母娘と私の予約が別々になったことから、ホテルにお願いし部屋を近くになるようにお願いしたところ同じ階にして頂きました。またチェックイン前とチェックアウト後にスーツケースを預かって貰うお願いも快く受けて頂きました。 東京駅とさいたまの川越で購入したお土産が大量になったため、ホテルにお願いして宅配便でまとめて自宅へ発送しました。宅配はクロネコヤマトの宅配便で梱包用の段ボールはフロントで購入できます。サイズは2種類「クロネコボックス10」と「クロネコボックス12」がありました。お土産が大量だったので12サイズを購入。 発送伝票は部屋に備え付けてありました。 段ボールに荷物を詰め込み、部屋に有った伝票に記入して、フロントにて発送をお願いしました。 お部屋は、ツインに関しては横浜駅前と同じ仕様なので満足！ただ照明が暗い点と壁際のテーブルが小さいのが気になりました。私のダブルの部屋の照明はセンターに大きい家庭のリビングに付けるような大きい丸い照明が付いて明るかったので、ツインの部屋が余計に暗く感じました。テーブルも私の部屋は壁面全体がテーブルになっていましたが、ツインの方は、テレビの下もテーブルになっていれば使い勝手がよくなるかなと感じました、ダブルの部屋は欲をいえばバス、トイレが独立が良かったですが、ユニットもそれほど狭くなくゆったりと使用出来ました。朝食は和洋メニューがそろっていて2日とも美味しく頂きました。私は1日目は和食、2日目は洋食を頂きました。ドリップサーバーでコーヒーやココアを飲めて美味かったです。また両国が近いこともあってか1人用のちゃんこ鍋がありました。これは外国人旅行客には嬉しいサービスだと思いました。1日目の朝食は9時過ぎにゆっくり頂きました。2日目の朝食時間は早めに都庁の展望台へ行くため7時に行きました。食事が終わる8時ころには席が満席で待ち時間が発生してました。食事の内容に付いては写真を参照ください。旅行の際は、またリッチモンドさんを利用します。,,,2025.10.25(土) - 27(月) 2泊お世話になりました。リッチモンドホテルさんは8月の横浜周辺の家族旅行の際に横浜駅前に宿泊させて頂き、たいへん気に入り、今回さいたまスーパーアリーナで開催の「&Team」コンサート2Day'sと都内観光のため家族3人で利用させて頂きました(目的は母と娘のコンサートで、私はその付き添い)。 宿泊は母娘がツイン(バス、トイレが独立)、私ははダブルのシングルユース(こちらはバストイレいっしょのユニットタイプ)いずれも禁煙で朝食付き。母娘と私の予約が別々になったことから、ホテルにお願いし部屋を近くになるようにお願いしたところ同じ階にして頂きました。またチェックイン前とチェックアウト後にスーツケースを預かって貰うお願いも快く受けて頂きました。 東京駅とさいたまの川越で購入したお土産が大量になったため、ホテルにお願いして宅配便でまとめて自宅へ発送しました。宅配はクロネコヤマトの宅配便で梱包用の段ボールはフロントで購入できます。サイズは2種類「クロネコボックス10」と「クロネコボックス12」がありました。お土産が大量だったので12サイズを購入。 発送伝票は部屋に備え付けてありました。 段ボールに荷物を詰め込み、部屋に有った伝票に記入して、フロントにて発送をお願いしました。 お部屋は、ツインに関しては横浜駅前と同じ仕様なので満足！ただ照明が暗い点と壁際のテーブルが小さいのが気になりました。私のダブルの部屋の照明はセンターに大きい家庭のリビングに付けるような大きい丸い照明が付いて明るかったので、ツインの部屋が余計に暗く感じました。テーブルも私の部屋は壁面全体がテーブルになっていましたが、ツインの方は、テレビの下もテーブルになっていれば使い勝手がよくなるかなと感じました、ダブルの部屋は欲をいえばバス、トイレが独立が良かったですが、ユニットもそれほど狭くなくゆったりと使用出来ました。朝食は和洋メニューがそろっていて2日とも美味しく頂きました。私は1日目は和食、2日目は洋食を頂きました。ドリップサーバーでコーヒーやココアを飲めて美味かったです。また両国が近いこともあってか1人用のちゃんこ鍋がありました。これは外国人旅行客には嬉しいサービスだと思いました。1日目の朝食は9時過ぎにゆっくり頂きました。2日目の朝食時間は早めに都庁の展望台へ行くため7時に行きました。食事が終わる8時ころには席が満席で待ち時間が発生してました。食事の内容に付いては写真を参照ください。旅行の際は、またリッチモンドさんを利用します。,,,プティ&ポニョ,google_ChIJvbMajdiIGGARKnb-Ihq5VAI_6e4939c725699b5f83c4266549b6ecae
false,Trip.com,10,2026-01-03,子供達と利用しました。エントランスのウエルカムドリンクや、アメニティ、ティーバッグの種類の豊富さなどに驚きました。はちみつチョコレートフレーバーがとても美味しかったです。朝食も和洋充実していて味も大満足でした。 もう一泊したい、と子供達が名残惜しそうにしていました。また是非利用したいです。ありがとうございました。,,,子供達と利用しました。エントランスのウエルカムドリンクや、アメニティ、ティーバッグの種類の豊富さなどに驚きました。はちみつチョコレートフレーバーがとても美味しかったです。朝食も和洋充実していて味も大満足でした。 もう一泊したい、と子供達が名残惜しそうにしていました。また是非利用したいです。ありがとうございました。,,,ゲ‍ス‍ト,trip_1803171216
false,Booking.com,8,2026-01-03,,,,,,,Daveric,bookingcom_7530135_c1b6dfbd820a2e9ced7fac0f2d1689e8
false,Booking.com,8,2026-01-03,,飯店周邊機能不錯，不少餐廳及超商，搭大眾交通工具也很方便！,房間地板打掃的不是很乾淨,,ホテルはレストランやコンビニエンスストアが多く、公共交通機関も非常に便利な好立地にあります！,部屋の床はあまりきれいではなかった。,Ssu,bookingcom_7530135_559d6a4f330b134f13cae3f8b45bd072
