チェック,サイト名,評価,投稿日,コメント(全体),コメント(良い点),コメント(改善点),コメント（翻訳:全体),コメント（翻訳:良い),コメント（翻訳:改善点),投稿者,レビューID
false,Agoda,8,2026-01-29,劇団四季を観に秋田から来ました。 浜松町にも新橋にも1本で行けて、ホテルも駅の直ぐそばなので楽でした。 夜のご飯も、近くに色々なお店があってとっても便利な場所です。 東京に用事があるときは、都内のホテルで駅から遠い所よりもずっと便利だと思っています。 また利用します。,,,劇団四季を観に秋田から来ました。 浜松町にも新橋にも1本で行けて、ホテルも駅の直ぐそばなので楽でした。 夜のご飯も、近くに色々なお店があってとっても便利な場所です。 東京に用事があるときは、都内のホテルで駅から遠い所よりもずっと便利だと思っています。 また利用します。,,,seiko,agoda_96600_f1e0833355c46934ef749db449496348
false,Booking.com,7,2026-01-28,,ロケーションは良かった！,2日目外出から戻った時、コーヒーメーカー内の水がタンクに残ったままだった。  ２日目、外出先から戻った時、建物に入っている店舗は全て閉店💦ホテル入り口を探すのにひと苦労💦  チェックインの時に一切の説明無しで、寒空の下30分近くウロウロした😓  途中で見つけた道案内板が、土地勘のない者には分かりづらかった🥹,,ロケーションは良かった！,2日目外出から戻った時、コーヒーメーカー内の水がタンクに残ったままだった。  ２日目、外出先から戻った時、建物に入っている店舗は全て閉店💦ホテル入り口を探すのにひと苦労💦  チェックインの時に一切の説明無しで、寒空の下30分近くウロウロした😓  途中で見つけた道案内板が、土地勘のない者には分かりづらかった🥹,Junko,bookingcom_260186_16b373c18d0f7c7efe76304574160df0
false,Booking.com,8,2026-01-28,,,,,,,Nagarajan,bookingcom_260186_282eae9262539761ef250ce8c18cd197
false,Booking.com,7,2026-01-28,,駅から近い,バス、トイレが狭い,,駅から近い,バス、トイレが狭い,井上,bookingcom_260186_fb75ded720881ee9411f8820845174c8
false,Booking.com,8,2026-01-27,,,,,,,Yasueda,bookingcom_260186_ab56fbfc9e47802a2c852a9be291c5bf
false,Booking.com,10,2026-01-27,,ロケーション、清潔、朝食,なし,,ロケーション、清潔、朝食,なし,Eiji,bookingcom_260186_134f138f2cfcb0e08bff04d8b100fec1
false,じゃらん,5,2026-01-27,コンサート鑑賞のため、２度目の宿泊。  部屋をアップグレードしてくれており、２人で感激。ホテルメイドのケーキで素敵なクリスマスイヴを過ごすことができました。  スタッフの皆さん、ありがとう。,,,コンサート鑑賞のため、２度目の宿泊。  部屋をアップグレードしてくれており、２人で感激。ホテルメイドのケーキで素敵なクリスマスイヴを過ごすことができました。  スタッフの皆さん、ありがとう。,,,白い巨塔さん,jalan_322153_510b86eb9c46cb61de9f11c52608f45a
false,Booking.com,5,2026-01-26,,,,,,,漢方,bookingcom_260186_886335029fae32ebd0a71d78ad9f7959
false,楽天トラベル,4,2026-01-26,駅に近くて便利です 朝食も美味しかったのですが、メニューがあまり変わらないのが少し残念,,,駅に近くて便利です 朝食も美味しかったのですが、メニューがあまり変わらないのが少し残念,,,2525kara,rakuten_2056_6d089bfad233024fed46cbadd4c4a901
false,Booking.com,10,2026-01-25,,,,,,,Anasuha,bookingcom_260186_b9e558c8440cf2fb4200c8847609b26e
false,Booking.com,10,2026-01-25,,地點非常好，旁邊就有超市和百貨公司,住15樓，早上會聽到電車的聲音,,立地は最高です。すぐ隣にスーパーマーケットやデパートがあります。,私は15階に住んでいるのですが、朝になると路面電車の音が聞こえます。,Yachi,bookingcom_260186_25a95da4405155a677e40a095fffa294
false,Booking.com,7,2026-01-25,,,,,,,Kim,bookingcom_260186_acb9f6aac815c35f808c006e0543237c
false,Booking.com,10,2026-01-25,,Superb location. Breakfast is good. Only 3 minutes from the station.,Nothing,,最高のロケーション。朝食も美味しい。駅からわずか3分。,何もない,Witoon101,bookingcom_260186_0026ba4d49554dcaa874fdabff251e75
false,Trip.com,8,2026-01-24,長期滞在していたマレーシアから日本へ帰国。沢山の荷物（大きいスーツケース8個、ゴルフバッグ2個その他手荷物3個などなどを持っての帰国でした。 深夜に羽田に到着、荷物をほぼ宅配にし、タクシーに乗る際ホテル名しか分からず、携帯も動きが悪い中、タクシー運転手が住所を言ってくれないと困る！の一点張り！携帯が動かないし、クタクタなのに文句ばかり言われ益々疲れました。 自分でナビに入れてくれれば直ぐわかるものの文句タラタラ！なんだかんだ言われてやっとホテルに到着! そんな中受付の方が良い方でほっとして、ゆっくり休めました。 清潔感のある部屋でしたが、少し狭いかなあという印象でした。,,,長期滞在していたマレーシアから日本へ帰国。沢山の荷物（大きいスーツケース8個、ゴルフバッグ2個その他手荷物3個などなどを持っての帰国でした。 深夜に羽田に到着、荷物をほぼ宅配にし、タクシーに乗る際ホテル名しか分からず、携帯も動きが悪い中、タクシー運転手が住所を言ってくれないと困る！の一点張り！携帯が動かないし、クタクタなのに文句ばかり言われ益々疲れました。 自分でナビに入れてくれれば直ぐわかるものの文句タラタラ！なんだかんだ言われてやっとホテルに到着! そんな中受付の方が良い方でほっとして、ゆっくり休めました。 清潔感のある部屋でしたが、少し狭いかなあという印象でした。,,,ゲ‍ス‍ト,trip_1824120799
false,Trip.com,6,2026-01-24,房間太熱，沒有空調，酒店提供的電風扇風力太小，令房間仿似沒有空氣,,,部屋は暑すぎた。エアコンはなく、ホテルの扇風機も弱すぎて、まるで空気が全くないように感じた。,,,ゲ‍ス‍ト,trip_1824660808
false,Booking.com,9,2026-01-24,,コスパ最高 ロケーション最高 朝食が美味しい,特になし,,コスパ最高 ロケーション最高 朝食が美味しい,特になし,Keigo,bookingcom_260186_750129226b96eacb5d6cb28ce80c27d7
false,Google,3,2026-01-24,,,,,,,小松厚仁,google_ChIJ2dgSdPttH2AR3N7Ip3WIiwc_4c9ae51a6072b81b3d48eff237e054da
false,Booking.com,10,2026-01-23,,,,,,,Tetsuya,bookingcom_260186_bd2c04de89ae891c0dea5f9fd4617ab2
false,じゃらん,4,2026-01-23,ミューザ川崎の夜の演奏会があり、演者である娘と宿泊しました。せっかくの老舗ホテルなので私は14時から翌日のアウト12時まで利用させていただきホテルライフを満喫しました。眺めも居心地も良く快適なホテルでした。エレベーターが3機あり乗ってから自分の泊まるフロアまで行かない事に気が付き何度か乗換えをする羽目になりました。アメニティも後でフロントに聞きに行き、いただけたのですが、いずれもチェックインの時に教えてくだされば良いのにな、と少し残念でした。,,,ミューザ川崎の夜の演奏会があり、演者である娘と宿泊しました。せっかくの老舗ホテルなので私は14時から翌日のアウト12時まで利用させていただきホテルライフを満喫しました。眺めも居心地も良く快適なホテルでした。エレベーターが3機あり乗ってから自分の泊まるフロアまで行かない事に気が付き何度か乗換えをする羽目になりました。アメニティも後でフロントに聞きに行き、いただけたのですが、いずれもチェックインの時に教えてくだされば良いのにな、と少し残念でした。,,,まりちゃんさん,jalan_322153_4db0a02c94d1b015eac1c1483fb5fa79
false,じゃらん,4,2026-01-23,何といっても、駅から近く次の日の早い電車に乗る予定でしたので非常に便利でした。部屋は少し狭いでしたが、清潔でした。,,,何といっても、駅から近く次の日の早い電車に乗る予定でしたので非常に便利でした。部屋は少し狭いでしたが、清潔でした。,,,こうくんさん,jalan_322153_195098002c459ca3c08c6818f892dfd3
false,じゃらん,5,2026-01-23,ミューザ川崎の夜の演奏会があり、演者である娘と宿泊しました。せっかくの老舗ホテルなので私は14時から翌日のアウト12時まで利用させていただきホテルライフを満喫しました。眺めも居心地も良く快適なホテルでした。エレベーターが3機あり乗ってから自分の泊まるフロアまで行かない事に気が付き何度か乗換えをする羽目になりました。アメニティも後でフロントに聞きに行き、いただけたのですが、いずれもチェックインの時に教えてくだされば良いのにな、と少し残念でした。,,,ミューザ川崎の夜の演奏会があり、演者である娘と宿泊しました。せっかくの老舗ホテルなので私は14時から翌日のアウト12時まで利用させていただきホテルライフを満喫しました。眺めも居心地も良く快適なホテルでした。エレベーターが3機あり乗ってから自分の泊まるフロアまで行かない事に気が付き何度か乗換えをする羽目になりました。アメニティも後でフロントに聞きに行き、いただけたのですが、いずれもチェックインの時に教えてくだされば良いのにな、と少し残念でした。,,,まりちゃんさん,jalan_322153_83678c07512861aa34ae141dcc079250
false,Booking.com,8,2026-01-22,,駅チカ レセプション対応 One Harmony会員特単 誕生日の翌週に宿泊したが、プレゼントあり,,,駅チカ レセプション対応 One Harmony会員特単 誕生日の翌週に宿泊したが、プレゼントあり,,Coboss,bookingcom_260186_87898ff6dd3e0bede4580500cfb77662
false,Google,5,2026-01-21,,,,,,,汀良異兼児（ビリーアイドル）,google_ChIJ2dgSdPttH2AR3N7Ip3WIiwc_4407645da98d27018da2996ea01becd6
false,Trip.com,6,2026-01-21,衞生服務比以前差,,,医療サービスは以前よりも悪くなっている,,,M‍2‍8‍9‍6‍7‍3‍*‍*‍*‍*,trip_1822083781
false,Booking.com,10,2026-01-21,,,,,,,Yasuo,bookingcom_260186_d30fcb9ac27f69c7bb51384558b11aef
false,Booking.com,10,2026-01-21,,立地、清潔さやスタッフの方々など全て。都内に住んでいますが、初大師早朝訪問のため前泊で利用させていただいています。短時間の滞在が残念なほどいつも快適です、ありがとうございます！,なし,,立地、清潔さやスタッフの方々など全て。都内に住んでいますが、初大師早朝訪問のため前泊で利用させていただいています。短時間の滞在が残念なほどいつも快適です、ありがとうございます！,なし,Junko,bookingcom_260186_d0d0350df8451b215c738877c73be9ae
false,Booking.com,10,2026-01-21,,,,,,,Tsung,bookingcom_260186_758b8b95c15c09b2e3195739e1371a76
false,Agoda,8,2026-01-21,,駅チカ レセプション対応 One Harmony会員特単 誕生日の翌週に宿泊したが、プレゼントあり,,,駅チカ レセプション対応 One Harmony会員特単 誕生日の翌週に宿泊したが、プレゼントあり,,COBOSS,agoda_96600_a1778ec9bbd4f4376c26f5c8f3600706
false,Agoda,10,2026-01-21,,立地、清潔さやスタッフの方々など全て。都内に住んでいますが、初大師早朝訪問のため前泊で利用させていただいています。短時間の滞在が残念なほどいつも快適です、ありがとうございます！,なし,,立地、清潔さやスタッフの方々など全て。都内に住んでいますが、初大師早朝訪問のため前泊で利用させていただいています。短時間の滞在が残念なほどいつも快適です、ありがとうございます！,なし,Junko,agoda_96600_d0d0350df8451b215c738877c73be9ae
false,Google,4,2026-01-20,大変気持ちの良い所です,,,大変気持ちの良い所です,,,Yoshizawa Hiroshi,google_ChIJ2dgSdPttH2AR3N7Ip3WIiwc_5c414020dee3197e018bd4620b47d7c4
false,Trip.com,8,2026-01-20,這是我住過最差的日航酒店，全座大廈樓下有超過一半是租了給別人營業，前台態度一般。提供的衞生用品種類少多可憐。,,,これまで泊まった日航ホテルの中で最悪です。建物の1階の半分以上が他のテナントに貸し出されていて、フロントのスタッフの対応も平凡です。アメニティの種類もひどく少ないです。,,,ゲ‍ス‍ト,trip_1820544986
false,楽天トラベル,4,2026-01-20,本文なし,,,本文なし,,,まるみ1226,rakuten_2056_bca91c143ca4e9103c1ea042b48502ad
false,Booking.com,10,2026-01-20,,,,,,,Dolbytu,bookingcom_260186_a9fcbdf137a78b7cbf08ab9093710c3d
false,Booking.com,9,2026-01-20,,地點很好,沒洗衣機很不方便,,絶好のロケーション,洗濯機がないのはとても不便だ。,Dolbytu,bookingcom_260186_f65f774642cb7b65836ba07515b361e5
false,Booking.com,9,2026-01-20,,改修工事のために部屋が変わりましたが見晴らしの良い部屋でお得でした,なし,,改修工事のために部屋が変わりましたが見晴らしの良い部屋でお得でした,なし,Tomovsky,bookingcom_260186_2bf8d8051322c3ccbba59ef493d178c2
false,楽天トラベル,5,2026-01-20,朝から素敵なご飯いたたきました 実演オムレツGOOD、オトナ好みかな  持ち帰り用のコーヒーも優しく教えてくれました 高階層階からの眺めはよかったです エレベーターも比較的に早い お部屋のコーヒー、紅茶美味しかった 朝までぐっすり眠れました 今度はバーも行ってみたい  仕事なので20時イン朝早く出るプランにしました,,,朝から素敵なご飯いたたきました 実演オムレツGOOD、オトナ好みかな  持ち帰り用のコーヒーも優しく教えてくれました 高階層階からの眺めはよかったです エレベーターも比較的に早い お部屋のコーヒー、紅茶美味しかった 朝までぐっすり眠れました 今度はバーも行ってみたい  仕事なので20時イン朝早く出るプランにしました,,,aho@sakata,rakuten_2056_699fe1b73e49719cd8b351cc568a2c35
false,Booking.com,9,2026-01-19,,,,,,,Yuko,bookingcom_260186_b61748c29a03f07ff0c23d4fa77738ce
false,Google,4,2026-01-19,,,,,,,Yoshizawa Hiroshi,google_ChIJ2dgSdPttH2AR3N7Ip3WIiwc_55684acc2ce27d484b9d56866dd2454a
false,Booking.com,7,2026-01-19,,,,,,,Yuya,bookingcom_260186_31738bf44c8c0880849426a87d730281
false,Booking.com,8,2026-01-19,,スタッフの対応を含め全く問題無し,お部屋の温度が暑かった。午後の西陽が部屋に差し込み部屋の温度が異常でしたがエアコンが切り替わる事が出来なかったので、辛かったです。コインランドリーが有れば尚、良かったです。,,スタッフの対応を含め全く問題無し,お部屋の温度が暑かった。午後の西陽が部屋に差し込み部屋の温度が異常でしたがエアコンが切り替わる事が出来なかったので、辛かったです。コインランドリーが有れば尚、良かったです。,Hideki,bookingcom_260186_009e29d78593a003f09295cc0c08ffdb
false,Booking.com,7,2026-01-19,,,,,,,Kaito,bookingcom_260186_bf577717f2d77c886ee8ef13d2ed71aa
false,Google,4,2026-01-19,,,,,,,Abdurrahman Manjiro,google_ChIJ2dgSdPttH2AR3N7Ip3WIiwc_89c978a1beeded17884f516cb4d3245d
false,Booking.com,10,2026-01-18,,,,,,,Carol,bookingcom_260186_dcf2b62f95529acf11bc61c93eee8d7e
false,Booking.com,10,2026-01-18,,位置便利到羽田機場,,,羽田空港近くという便利な立地,,Joanne,bookingcom_260186_961c3c04848950d90c19a1d3de191dbd
false,Google,5,2026-01-18,川崎駅近くのこの5つ星ホテルは、典型的な日本のホテルです。客室はこぢんまりとしていますが、清潔でシンプルです。各客室には、紅茶とコーヒーを淹れるためのカプセル式コーヒーメーカーが備わっています。また、折り鶴、お持ち帰り用の折り紙、そして説明書も用意されています。ティーバッグとコーヒーは毎日補充されます。ホテルは便利な立地です。10階に喫煙室があり、午後10時以降はルームキーで入室する必要があります。1階正面玄関の真向かい約50メートルのところに、屋外の公共喫煙エリアがあります。,,,川崎駅近くのこの5つ星ホテルは、典型的な日本のホテルです。客室はこぢんまりとしていますが、清潔でシンプルです。各客室には、紅茶とコーヒーを淹れるためのカプセル式コーヒーメーカーが備わっています。また、折り鶴、お持ち帰り用の折り紙、そして説明書も用意されています。ティーバッグとコーヒーは毎日補充されます。ホテルは便利な立地です。10階に喫煙室があり、午後10時以降はルームキーで入室する必要があります。1階正面玄関の真向かい約50メートルのところに、屋外の公共喫煙エリアがあります。,,,LIAO ALEN,google_ChIJ2dgSdPttH2AR3N7Ip3WIiwc_ff7aaec09c7c421c541241957ad0f38c
false,Google,5,2026-01-18,近川崎站的五星級飯店，日本的住房空間不大但都很乾淨樸素，房間備有可沖泡茶及咖啡的膠囊機；入住飯店還有折紙鶴亦有可帶回的紙張和教學說明，每日補足茶包及咖啡，交通方便，10F有吸煙室，晚上10點後才需房卡進入，1F大門正對面約50公尺有公家設立的戶外吸煙區。,,,川崎駅近くにあるこの5つ星ホテルは、典型的な日本のホテルです。客室は小ぶりながら清潔でシンプル。各部屋にはカプセル式コーヒーメーカーが備え付けられています。折り鶴、折り紙、折り方の説明書も用意されており、ティーバッグとコーヒーは毎日補充されます。立地も便利です。10階には喫煙室があり、午後10時以降はルームキーで入室できます。1階正面玄関の真向かい約50メートルには、屋外の公共喫煙エリアがあります。,,,LIAO ALEN,google_ChIJ2dgSdPttH2AR3N7Ip3WIiwc_2169968cdec5785b670e7b754b57c8ba
false,Google,5,2026-01-18,川崎駅に近いこの5つ星ホテルは、日本の宿泊施設の典型と言えるでしょう。こぢんまりとしていますが、清潔でシンプルな造りとなっています。客室には、お茶やコーヒーを淹れるためのカプセル式コーヒーマシンが備え付けられています。また、折り鶴、お持ち帰り用の紙、取扱説明書も用意されています。ティーバッグとコーヒーは毎日補充されます。ホテルは便利な立地です。10階には喫煙室があり、22時以降はルームキーで入室できます。また、1階正面玄関の真向かい約50メートルの場所に、屋外の公共喫煙所があります。,,,川崎駅に近いこの5つ星ホテルは、日本の宿泊施設の典型と言えるでしょう。こぢんまりとしていますが、清潔でシンプルな造りとなっています。客室には、お茶やコーヒーを淹れるためのカプセル式コーヒーマシンが備え付けられています。また、折り鶴、お持ち帰り用の紙、取扱説明書も用意されています。ティーバッグとコーヒーは毎日補充されます。ホテルは便利な立地です。10階には喫煙室があり、22時以降はルームキーで入室できます。また、1階正面玄関の真向かい約50メートルの場所に、屋外の公共喫煙所があります。,,,LIAO ALEN,google_ChIJ2dgSdPttH2AR3N7Ip3WIiwc_2c4152e18d003977185e125856753dc7
false,楽天トラベル,4,2026-01-17,部屋はとても綺麗で快適に過ごせました。 部屋が明るいのがよかったです。 さらに電気スタンドもあったので、受験生にはおすすめです。 近くに買い物できる場所が多いのもいいですね。朝食ブュッフェのサラダの豆乳ドレッシングが美味しかったです。買えないかぁ、、,,,部屋はとても綺麗で快適に過ごせました。 部屋が明るいのがよかったです。 さらに電気スタンドもあったので、受験生にはおすすめです。 近くに買い物できる場所が多いのもいいですね。朝食ブュッフェのサラダの豆乳ドレッシングが美味しかったです。買えないかぁ、、,,,不明,rakuten_2056_67e8793774dbe0638e75be83078cb533
false,Booking.com,9,2026-01-17,,This rooms are cleaned daily. Stuff are extremely helpful and the location is conveniently located near the station.,The rooms size is a bit small but that is expected for Japan.,,客室は毎日清掃されています。スタッフは非常に親切で、駅にも近く便利な立地です。,部屋の広さは少し狭いですが、日本ではよくあることです。,Renata,bookingcom_260186_3950b81d0773fed4afd34a721bb6460b
false,Booking.com,7,2026-01-17,,食事が美味しい。,特に無し。,,食事が美味しい。,特に無し。,古海,bookingcom_260186_ea1ad71bfbf43842aa5a1646a13fc1f9
false,Booking.com,8,2026-01-16,,,,,,,Yoshifumi,bookingcom_260186_836c8e3cfae886c04b6a729ab3f18cba
false,じゃらん,4,2026-01-15,何度も利用させていただいてますが、毎回感じるのはスタッフさんの接客が丁寧なところは満点です。ホテルマンとしては当然なことでしょうが、フロント、朝食会場どのスタッフも笑顔と気持ちのある挨拶はとても気分が良いものです。  こちらのホテルは川崎駅からも近く、利便性がありまた利用したいと思います。シングルのお部屋は少々狭く、次回はもう少し広いお部屋を予約したいですね。,,,何度も利用させていただいてますが、毎回感じるのはスタッフさんの接客が丁寧なところは満点です。ホテルマンとしては当然なことでしょうが、フロント、朝食会場どのスタッフも笑顔と気持ちのある挨拶はとても気分が良いものです。  こちらのホテルは川崎駅からも近く、利便性がありまた利用したいと思います。シングルのお部屋は少々狭く、次回はもう少し広いお部屋を予約したいですね。,,,まおましゃさん,jalan_322153_8982a652a2fef9aca818c7bb5d19e4fd
false,楽天トラベル,4,2026-01-15,立地が良かった。ただ入口がわかりにくい,,,立地が良かった。ただ入口がわかりにくい,,,開運招福2012,rakuten_2056_ea8ad494fe7d7ad57e2127a1c21b672f
false,Trip.com,10,2026-01-15,今回も、安眠できました。そ,,,今回も、安眠できました。そ,,,ゲ‍ス‍ト,trip_1815301208
false,じゃらん,3,2026-01-15,何度も利用させていただいてますが、毎回感じるのはスタッフさんの接客が丁寧なところは満点です。ホテルマンとしては当然なことでしょうが、フロント、朝食会場どのスタッフも笑顔と気持ちのある挨拶はとても気分が良いものです。  こちらのホテルは川崎駅からも近く、利便性がありまた利用したいと思います。シングルのお部屋は少々狭く、次回はもう少し広いお部屋を予約したいですね。,,,何度も利用させていただいてますが、毎回感じるのはスタッフさんの接客が丁寧なところは満点です。ホテルマンとしては当然なことでしょうが、フロント、朝食会場どのスタッフも笑顔と気持ちのある挨拶はとても気分が良いものです。  こちらのホテルは川崎駅からも近く、利便性がありまた利用したいと思います。シングルのお部屋は少々狭く、次回はもう少し広いお部屋を予約したいですね。,,,まおましゃさん,jalan_322153_36829d635e9dd63d0273b865e2b0d958
false,Trip.com,10,2026-01-15,駅からのアクセスもよく、近くに食事できるとこも多かったので、とてもよかったです。ホテルマンの方もご丁寧でとても助かりました。,,,駅からのアクセスもよく、近くに食事できるとこも多かったので、とてもよかったです。ホテルマンの方もご丁寧でとても助かりました。,,,真‍之‍介,trip_1815698446
false,Trip.com,9,2026-01-15,房間夠大，擺3個箱子無壓力，戴森空氣凈化機配置，早餐尚可，但菜品無蓋，較冷。酒店電梯人員較雜，五樓，六樓有美容店，學習塾等，十樓宴會廳生意興隆，造成住客上樓不便，我們甚至有一次需為他人出電梯而先出電梯讓行,,,部屋はスーツケース3個が楽に収まるほど広々としていました。ダイソンの空気清浄機も備え付けられていました。朝食はまあまあでしたが、料理に蓋がなく、かなり冷めていました。ホテルのエレベーターは様々な人で​​混雑していました。5階と6階には美容室と自習室があり、10階の宴会場はビジネスで賑わっていたため、宿泊客が上の階へ行くのは不便でした。私たちは他の人が降りるために、先にエレベーターを降りなければなりませんでした。,,,W‍q‍i‍n‍y‍u‍a‍n‍c‍h‍u‍n‍W,trip_1815852645
false,Booking.com,10,2026-01-15,,,,,,,Ugurcan,bookingcom_260186_5553e7359ea8d2ea46252f12cd40ac58
false,Booking.com,8,2026-01-15,,,,,,,Takashi,bookingcom_260186_3a7e4d3812c26c8ff0c9af873fcfd487
false,Booking.com,6,2026-01-15,,ゆっくりできた,写真よりお部屋が狭めだった,,ゆっくりできた,写真よりお部屋が狭めだった,Kozue,bookingcom_260186_d5d326f8b482ce426349f89d591097f3
false,Booking.com,6,2026-01-15,,,,,,,山根(yamane),bookingcom_260186_800c3a8c28ee4c880c6fa39296083a21
false,Booking.com,9,2026-01-14,,,,,,,Jean,bookingcom_260186_f49dd01aa95d83776fd8f4d6a2329909
false,Trip.com,10,2026-01-13,"挺好的日本行感覺還不錯,￼尤其碰到外國人有回應。￼可惜這一次時間的來不及去九州￼還有其他三三線城市。",,,日本への旅行は最高でした。特に外国人の方々の反応がとても嬉しかったです。今回は九州やその他の小さな町を訪れる時間が十分に取れなかったのが残念です。,,,ゲ‍ス‍ト,trip_1813674536
false,Booking.com,10,2026-01-13,,,,,,,Boonchai,bookingcom_260186_979b4cf10d90878a56df48e363ab975e
false,Google,4,2026-01-13,流石に日航ホテルですね。 まず地下1階の築地寿司で、美味し刺身、白子ポン酢、他、ここは美味しい日本酒がいっぱいあって兎に角嬉しいです!それから7階の夜間飛行でピンクサーモン これがめちゃくちゃ美味しいのです、洋酒の豊富、景色も最高。素晴らしい夜でした。。,,,流石に日航ホテルですね。 まず地下1階の築地寿司で、美味し刺身、白子ポン酢、他、ここは美味しい日本酒がいっぱいあって兎に角嬉しいです!それから7階の夜間飛行でピンクサーモン これがめちゃくちゃ美味しいのです、洋酒の豊富、景色も最高。素晴らしい夜でした。。,,,黒沼良彰,google_ChIJ2dgSdPttH2AR3N7Ip3WIiwc_c40467be44b69af9b1e0eb26cb5cd917
false,Booking.com,7,2026-01-12,,アクセスがとても良かった,加湿器がもう少し使いやすかったら良かったです。,,アクセスがとても良かった,加湿器がもう少し使いやすかったら良かったです。,Kika,bookingcom_260186_b9579b0c6e51c92860a3c4e263484392
false,Booking.com,9,2026-01-12,,,,,,,Tomoka,bookingcom_260186_a757532ac0600f47c0ffa09f65312eea
false,じゃらん,5,2026-01-12,今回はリニューアルルームでお世話になりました。  高級ホテルならではのおもてなし、美味しい朝食、  全てが大満足でした。  1階のホテルベーカリーさんもおすすめします。,,,今回はリニューアルルームでお世話になりました。  高級ホテルならではのおもてなし、美味しい朝食、  全てが大満足でした。  1階のホテルベーカリーさんもおすすめします。,,,ケエトさん,jalan_322153_449579ef13225becf0e1a8a4b94e0e13
false,じゃらん,4,2026-01-12,ホテルまでJR川崎駅、京急川崎駅とも雨に濡れないのでありがたい。また東京や横浜の主要なスポットや羽田空港に東海道線や京浜東北線、京急（地下鉄直結）本線で行けるのでとても便利。部屋はホスピタリティーが行き届いており、とても気持ち良かった。,,,ホテルまでJR川崎駅、京急川崎駅とも雨に濡れないのでありがたい。また東京や横浜の主要なスポットや羽田空港に東海道線や京浜東北線、京急（地下鉄直結）本線で行けるのでとても便利。部屋はホスピタリティーが行き届いており、とても気持ち良かった。,,,ｊｉｎさん,jalan_322153_193003f2bbcfa7aad5be15dca35d36e2
false,Booking.com,8,2026-01-11,,,,,,,美田村,bookingcom_260186_7af97542a39a1a53c552119d55750089
